Model;fit_time_cv1;fit_time_cv2;fit_time_cv3;fit_time_cv4;fit_time_cv5;fit_time_mean;fit_time_std;score_time_cv1;score_time_cv2;score_time_cv3;score_time_cv4;score_time_cv5;score_time_mean;score_time_std;test_acc_cv1;test_acc_cv2;test_acc_cv3;test_acc_cv4;test_acc_cv5;test_acc_mean;test_acc_std;test_balanced_accuracy_cv1;test_balanced_accuracy_cv2;test_balanced_accuracy_cv3;test_balanced_accuracy_cv4;test_balanced_accuracy_cv5;test_balanced_accuracy_mean;test_balanced_accuracy_std;test_prec_cv1;test_prec_cv2;test_prec_cv3;test_prec_cv4;test_prec_cv5;test_prec_mean;test_prec_std;test_recall_cv1;test_recall_cv2;test_recall_cv3;test_recall_cv4;test_recall_cv5;test_recall_mean;test_recall_std;test_f1-score_cv1;test_f1-score_cv2;test_f1-score_cv3;test_f1-score_cv4;test_f1-score_cv5;test_f1-score_mean;test_f1-score_std;test_tp_cv1;test_tp_cv2;test_tp_cv3;test_tp_cv4;test_tp_cv5;test_tp_mean;test_tp_std;test_tn_cv1;test_tn_cv2;test_tn_cv3;test_tn_cv4;test_tn_cv5;test_tn_mean;test_tn_std;test_fp_cv1;test_fp_cv2;test_fp_cv3;test_fp_cv4;test_fp_cv5;test_fp_mean;test_fp_std;test_fn_cv1;test_fn_cv2;test_fn_cv3;test_fn_cv4;test_fn_cv5;test_fn_mean;test_fn_std;test_cohens_kappa_cv1;test_cohens_kappa_cv2;test_cohens_kappa_cv3;test_cohens_kappa_cv4;test_cohens_kappa_cv5;test_cohens_kappa_mean;test_cohens_kappa_std;test_matthews_corrcoef_cv1;test_matthews_corrcoef_cv2;test_matthews_corrcoef_cv3;test_matthews_corrcoef_cv4;test_matthews_corrcoef_cv5;test_matthews_corrcoef_mean;test_matthews_corrcoef_std;test_roc_auc_cv1;test_roc_auc_cv2;test_roc_auc_cv3;test_roc_auc_cv4;test_roc_auc_cv5;test_roc_auc_mean;test_roc_auc_std;fit_time_overall;score_time_overall;acc_overall;balanced_accuracy_overall;prec_overall;recall_overall;f1-score_overall;tp_overall;tn_overall;fp_overall;fn_overall;cohens_kappa_overall;matthews_corrcoef_overall;roc_auc_overall
NB_Count_Vectors;0.14885711669921875;0.1645669937133789;0.19388198852539062;0.18510007858276367;0.05520939826965332;0.14952311515808106;0.04970969523580378;0.13992714881896973;0.17987322807312012;0.12386894226074219;0.13861775398254395;0.029285907745361328;0.12231459617614746;0.050091404320123885;0.7818740399385561;0.7709454265949269;0.7594158339738662;0.7594158339738662;0.7686395080707148;0.768058128510386;0.008353830387614065;0.7755087982669504;0.7637845953251103;0.7527493052383127;0.7518582495812396;0.7625449691640018;0.761289183515123;0.00862407742585549;0.801923076923077;0.793713163064833;0.7741312741312741;0.7817460317460317;0.7813688212927756;0.7865764734315983;0.00991752359157483;0.697324414715719;0.6767169179229481;0.6716917922948074;0.6599664991624791;0.6884422110552764;0.6788283670302461;0.013005297018286155;0.7459749552772809;0.7305605786618445;0.7192825112107624;0.7157129881925521;0.7319679430097952;0.728699795270447;0.010676299498205078;417;404;401;394;411;405.4;7.96492310069595;601;599;587;594;589;594.0;5.440588203494177;103;105;117;110;115;110.0;5.440588203494177;181;193;196;203;186;191.8;7.678541528180986;0.55648206343647;0.5335458876750565;0.5106336443049886;0.5097510910458992;0.5298789045101977;0.5280583181945223;0.017205296120343522;0.5606571193825595;0.5386807282252845;0.5145738360594359;0.5152467280287072;0.5331672542320351;0.5324651331856044;0.017032243953128152;0.7755087982669505;0.7637845953251104;0.7527493052383127;0.7518582495812396;0.7625449691640018;0.761289183515123;0.008624077425855532;0.027821779251098633;0.009766101837158203;0.7819271553711388;0.7767923946820987;0.79;0.714572864321608;0.7503957783641161;711;985;189;284;0.5576437261103242;0.5598577207286435;0.7767923946820987
NB_WordLevel_TF-IDF;0.04277205467224121;0.0407559871673584;0.04719996452331543;0.039999961853027344;0.027493953704833984;0.039644384384155275;0.006570603845115507;0.029055118560791016;0.032817840576171875;0.03808784484863281;0.03385496139526367;0.019564151763916016;0.030675983428955077;0.006256662824971148;0.7350230414746544;0.7401998462720983;0.7217524980784013;0.7378939277478862;0.722521137586472;0.7314780902319024;0.0078052907978936265;0.7189661561264822;0.7235371935434749;0.7064917389980204;0.7214065117252931;0.705292561291305;0.7151388323369152;0.007696570144898435;0.8409703504043127;0.8567493112947658;0.8036175710594315;0.8497267759562842;0.8314606741573034;0.8365049365744195;0.018501973186549465;0.5217391304347826;0.5209380234505863;0.5209380234505863;0.5209380234505863;0.49581239530988275;0.5160731192192849;0.010135112194409763;0.6439628482972135;0.6479166666666666;0.6321138211382114;0.6458982346832814;0.621196222455404;0.6382175586481553;0.010129712051582215;312;311;311;311;296;308.2;6.11228271597445;645;652;628;649;644;643.6;8.309031231136395;59;52;76;55;60;60.4;8.309031231136395;286;286;286;286;301;289.0;6.0;0.4508156034438492;0.4608001098661252;0.4243264320271456;0.45622834337796114;0.4235796015901049;0.44315001806103715;0.015991611082724386;0.48348401112132183;0.49670502457284194;0.4501710806973552;0.49073556345761143;0.4589187486372056;0.4760028856972672;0.018224968994566826;0.7189661561264823;0.7235371935434749;0.7064917389980204;0.7214065117252931;0.705292561291305;0.7151388323369152;0.0076965701448984455;0.021208763122558594;0.00428009033203125;0.7450437989857077;0.7314579712874423;0.8221574344023324;0.5668341708542713;0.6710291493158833;564;1052;122;431;0.47414124559558324;0.49603816629067204;0.7314579712874424
NB_N-Gram_TF-IDF;0.021641016006469727;0.01643967628479004;0.01327204704284668;0.015919923782348633;0.009685993194580078;0.015391731262207031;0.003936476699022544;0.032525062561035156;0.0329892635345459;0.030121803283691406;0.025112152099609375;0.020580053329467773;0.028265666961669923;0.004752123112669395;0.6789554531490015;0.6887009992313605;0.6779400461183704;0.6740968485780169;0.6756341275941583;0.6790654949341816;0.005110448428998326;0.6635945576162967;0.6730242119689356;0.6639720858078271;0.6592753064565251;0.6604411736713873;0.6640614671041943;0.004828470716104589;0.7319587628865979;0.75;0.7160194174757282;0.7167919799498746;0.72264631043257;0.7274832941489542;0.012618660324765765;0.47491638795986624;0.4824120603015075;0.49413735343383586;0.47906197654941374;0.47571189279731996;0.48124793420838863;0.006971469871111616;0.5760649087221096;0.5871559633027523;0.5847373637264619;0.5742971887550201;0.5737373737373738;0.5791985596487436;0.005615449756707982;284;288;295;286;284;287.4;4.079215610874228;600;608;587;591;595;596.2;7.30479294709987;104;96;117;113;109;107.8;7.30479294709987;314;309;302;311;313;309.8;4.261455150532503;0.3360740932313804;0.3556925108677709;0.33585329095093575;0.3267870000854294;0.3294371406098091;0.3367688071490651;0.010127360626227492;0.35648955378772795;0.37805944350138454;0.3512965813336587;0.34424070583080246;0.348241176725863;0.3556654922358874;0.01189034665927363;0.6635945576162968;0.6730242119689355;0.663972085807827;0.659275306456525;0.6604411736713873;0.6640614671041943;0.0048284707161045685;0.010462045669555664;0.0019447803497314453;0.6906408483171969;0.6776013799833922;0.7281690140845071;0.5195979899497487;0.6064516129032259;517;981;193;478;0.3631321805758245;0.3771942816911665;0.6776013799833923
NB_CharLevel_TF-IDF;0.3565061092376709;0.3540177345275879;0.32991814613342285;0.33481907844543457;0.16889381408691406;0.30883097648620605;0.07073502805922927;0.07817697525024414;0.04251432418823242;0.07126522064208984;0.13479089736938477;0.028778076171875;0.07110509872436524;0.03664676589390879;0.5691244239631337;0.5626441199077633;0.5618754803996926;0.5757109915449654;0.5572636433512682;0.5653237318333646;0.006424581065601126;0.5314400273639404;0.523705173595249;0.5240132956448911;0.5380703232069438;0.519370051012639;0.5273197741647326;0.006629434769399084;0.9111111111111111;0.9375;0.7755102040816326;0.9411764705882353;0.7142857142857143;0.8559167000133387;0.09326953097107488;0.06856187290969899;0.05025125628140704;0.06365159128978225;0.08040201005025126;0.05862646566164154;0.06429863923855622;0.010073876164745964;0.12752721617418353;0.09538950715421304;0.11764705882352942;0.14814814814814817;0.10835913312693499;0.11941421268540184;0.017854881491973843;41;30;38;48;35;38.4;6.019966777316964;700;702;693;701;690;697.2;4.791659420284375;4;2;11;3;14;6.8;4.791659420284375;557;567;559;549;562;558.8;5.946427498927402;0.06758526665696496;0.05108438306365315;0.051628002148502494;0.08182787532889935;0.04164513901322353;0.05875413324224869;0.014231732058789828;0.17154415968730213;0.15252492869711765;0.12570572413277747;0.19550143977769086;0.10139908844834694;0.149335068148647;0.0331389706392034;0.5314400273639404;0.5237051735952489;0.5240132956448911;0.5380703232069438;0.519370051012639;0.5273197741647326;0.0066294347693990965;0.05818819999694824;0.019865036010742188;0.5795297372060858;0.543317524590585;0.832;0.10452261306532663;0.18571428571428572;104;1153;21;891;0.09282238721778657;0.18524383478424247;0.543317524590585
LR_Count_Vectors;24.230983018875122;24.731270790100098;24.090548992156982;24.471436977386475;8.174389839172363;21.139725923538208;6.486334250825876;0.04061007499694824;0.02233290672302246;0.04999899864196777;0.03331899642944336;0.020820140838623047;0.033416223526000974;0.011029511259013526;0.7442396313364056;0.760184473481937;0.7509607993850884;0.7471176018447349;0.7509607993850884;0.7506926610866509;0.005378864943131487;0.739952303131651;0.7579148107964062;0.747991853205421;0.7450771851682656;0.7487556151971981;0.7479383534997884;0.0058679428046894255;0.7378815080789947;0.7427597955706985;0.7365684575389948;0.7263513513513513;0.7317487266553481;0.7350619678390775;0.005591570028247706;0.6872909698996655;0.7303182579564489;0.711892797319933;0.7202680067001676;0.7219430485762144;0.7143426160904859;0.01473696803632829;0.7116883116883118;0.7364864864864865;0.7240204429301534;0.7232968881412952;0.7268128161888701;0.7244609890870234;0.007935164500893608;411;436;425;430;431;426.6;8.546344247688598;558;553;552;542;546;550.2;5.6000000000000005;146;151;152;162;158;153.8;5.6;187;161;172;167;166;170.6;8.912911982062878;0.48239454274997073;0.5164870769238099;0.49724964099823954;0.49046653675237284;0.4980183870814081;0.49692323690116014;0.011285580716417524;0.483377138056041;0.5165491087665933;0.49748926652193615;0.4904812426843833;0.4980566458508711;0.497190680375965;0.011058194293888388;0.739952303131651;0.7579148107964063;0.7479918532054209;0.7450771851682656;0.7487556151971981;0.7479383534997884;0.005867942804689462;12.944011926651001;0.0031321048736572266;0.764407561088059;0.7633666629570339;0.7396039603960396;0.7507537688442211;0.745137157107232;747;911;263;248;0.526128660571326;0.5261795686372157;0.7633666629570339
LR_WordLevel_TF-IDF;0.6007368564605713;0.6234030723571777;0.6010448932647705;0.4304981231689453;0.34668898582458496;0.5204743862152099;0.11119809213086614;0.04349017143249512;0.03516793251037598;0.03832292556762695;0.0367279052734375;0.017297983169555664;0.03420138359069824;0.00890293392385301;0.7780337941628265;0.7970791698693312;0.7717140661029976;0.7955418908531898;0.7993850883935434;0.7883508018763777;0.011250540189613018;0.774853203861356;0.7940424185320543;0.7684409262220192;0.7924946703213035;0.7957912193543475;0.7851244876582161;0.011238049133778339;0.7705779334500875;0.7915936952714536;0.7631578947368421;0.7898423817863398;0.798932384341637;0.782820857917272;0.013582099078963836;0.7357859531772575;0.7571189279731994;0.7286432160804021;0.7554438860971524;0.7520938023450586;0.7458171571346139;0.011448751144745029;0.7527801539777587;0.773972602739726;0.7455012853470437;0.7722602739726028;0.7748058671268335;0.7638640366327929;0.012267409296651214;440;452;435;451;449;445.4;6.711184694225007;573;585;569;584;591;580.4;8.138795979750322;131;119;135;120;113;123.6;8.138795979750322;158;145;162;146;148;151.8;6.881860213634101;0.5515812956876354;0.5900376464858903;0.5387334410107832;0.5869318710804804;0.594229898270977;0.5723028305071532;0.02265221730008137;0.5520659710530537;0.5905191593497011;0.5392077220029627;0.587410849409726;0.5951115668920902;0.5728630537415068;0.022731356159479178;0.774853203861356;0.7940424185320542;0.7684409262220191;0.7924946703213035;0.7957912193543475;0.785124487658216;0.011238049133778353;0.3324730396270752;0.0016551017761230469;0.792992162286768;0.7922238963129105;0.7697628458498024;0.7829145728643216;0.7762830094668661;779;941;233;216;0.5836875342783726;0.5837600572096417;0.7922238963129105
LR_N-Gram_TF-IDF;0.36437010765075684;0.5142693519592285;0.3798060417175293;0.4922749996185303;0.2930750846862793;0.40875911712646484;0.08282363476977489;0.03583073616027832;0.025064945220947266;0.033783912658691406;0.023059844970703125;0.018230915069580078;0.02719407081604004;0.006632965609058356;0.7012288786482335;0.7163720215219063;0.6856264411990777;0.6871637202152191;0.681783243658724;0.6944348610486321;0.012789987151047892;0.6936331331711767;0.7086485933455156;0.6773117481346125;0.6792413773412517;0.6728695561139029;0.6863408816212919;0.013146982608237361;0.7053045186640472;0.7252964426877471;0.688;0.6877470355731226;0.6863543788187373;0.6985404751487309;0.015084660961540942;0.6003344481605352;0.6147403685092128;0.576214405360134;0.5829145728643216;0.5644891122278057;0.5877385814244018;0.01780094309343937;0.6485998193315268;0.6654578422484134;0.6271649954421149;0.6310063463281959;0.619485294117647;0.6383428594935795;0.01658194413811991;359;367;344;348;337;351.0;10.714476188783099;554;565;548;546;550;552.6;6.7409198185410855;150;139;156;158;154;151.4;6.740919818541086;239;230;253;249;260;246.2;10.57166022912201;0.391654555281965;0.42218769220029395;0.359056946724693;0.36268398570601523;0.35046802229527485;0.37721024044164836;0.026409505026464494;0.3955042049491953;0.42654035808713764;0.363278538897973;0.3664231809536544;0.3554174545030579;0.38143274747820366;0.026322463012481177;0.6936331331711766;0.7086485933455154;0.6773117481346125;0.6792413773412517;0.6728695561139029;0.6863408816212918;0.013146982608237311;0.26334071159362793;0.0007290840148925781;0.7049331489165515;0.699002251461738;0.6987681970884658;0.6271356783919598;0.6610169491525423;624;905;269;371;0.40113942956045767;0.4029790862670962;0.6990022514617381
LR_CharLevel_TF-IDF;2.985757350921631;3.3720810413360596;4.0605950355529785;4.06800103187561;2.367048978805542;3.370696687698364;0.6507967442727265;0.04139590263366699;0.04363393783569336;0.03353691101074219;0.0410921573638916;0.02058577537536621;0.03604893684387207;0.00844956795113347;0.7296466973886329;0.7378939277478862;0.7332820906994619;0.7471176018447349;0.749423520368947;0.7394727676099325;0.007678930171089878;0.7241919086348434;0.7314627112836912;0.726819466651439;0.7415129625399726;0.7436436443581544;0.7335261386936203;0.007778409983693818;0.7277777777777777;0.7442748091603053;0.7385496183206107;0.75;0.7542213883677298;0.7429647187252847;0.009252679805633098;0.657190635451505;0.6532663316582915;0.6482412060301508;0.6733668341708543;0.6733668341708543;0.6610863682963312;0.010420629398013333;0.6906854130052724;0.6958073148974131;0.6904549509366638;0.7096204766107679;0.711504424778761;0.6996145160457756;0.0091609002962261;393;390;387;402;402;394.8;6.1773780845922;557;570;567;570;573;567.4;5.535341001239218;147;134;137;134;131;136.6;5.535341001239219;205;207;210;195;195;202.4;6.248199740725323;0.45168190889121784;0.46726747641891775;0.4578938836286347;0.48680593106640024;0.49128972518615177;0.4709877850382645;0.015622997930545978;0.4535367524401562;0.47033616521421806;0.46090101316586796;0.48902473188727774;0.49375824780851607;0.47351138210320726;0.015612103187051411;0.7241919086348435;0.7314627112836912;0.726819466651439;0.7415129625399726;0.7436436443581544;0.7335261386936203;0.007778409983693791;2.467679977416992;0.008193016052246094;0.7616413093591516;0.7577465693030742;0.7553418803418803;0.7105527638190955;0.7322630761263594;707;945;229;288;0.5178339931349671;0.5186197066785599;0.7577465693030742
SVM_Count_Vectors;123.17604088783264;123.1222677230835;123.83937001228333;124.3285779953003;71.98942422866821;113.2911361694336;20.655673590651997;38.2718300819397;38.14123821258545;38.04340410232544;38.107503175735474;18.210364818572998;34.154868078231814;7.972599874695874;0.7519201228878648;0.7663335895465027;0.7740199846272099;0.7824750192159877;0.7786318216756342;0.7706761075906399;0.010810491579156195;0.748817079659471;0.7647422719658901;0.771971838358459;0.7818210370031978;0.7755967336683417;0.7685897921310719;0.011325765997610423;0.7391304347826086;0.7453936348408711;0.7572156196943973;0.7573770491803279;0.7696335078534031;0.7537500492703216;0.01059256676314061;0.7107023411371237;0.7453936348408711;0.7470686767169179;0.7738693467336684;0.7386934673366834;0.7431454933530528;0.020183058914672446;0.7246376811594203;0.7453936348408711;0.7521079258010118;0.7655343827671914;0.7538461538461538;0.7483039556829297;0.01349545318891958;425;445;446;462;441;443.8;11.82201336490532;554;552;561;556;572;559.0;7.155417527999327;150;152;143;148;132;145.0;7.155417527999327;173;152;151;135;156;153.4;12.142487389328432;0.4990792642690216;0.5294845439317801;0.5444981660553518;0.5627108900942674;0.552882550047255;0.5377310828795352;0.022187021553354048;0.4993970561760308;0.5294845439317801;0.5445399954944821;0.5628244533767077;0.5532667312556856;0.5379025560469373;0.02215739559181029;0.7488170796594709;0.76474227196589;0.771971838358459;0.7818210370031978;0.7755967336683417;0.7685897921310718;0.01132576599761047;108.05855512619019;36.93102192878723;0.7782388197325957;0.7776758579952574;0.7519607843137255;0.770854271356784;0.7612903225806451;767;921;253;228;0.5542899986542689;0.5544387896029044;0.7776758579952574
